code,name,doctor
0,전국,154816
11,서울특별시,42933
11680,강남구,6662
11740,강동구,2110
11305,강북구,714
11500,강서구,1566
11620,관악구,1018
11215,광진구,1256
11530,구로구,1424
11545,금천구,551
11350,노원구,1715
11320,도봉구,639
11230,동대문구,1795
11590,동작구,1355
11440,마포구,984
11410,서대문구,1989
11650,서초구,2866
11200,성동구,1006
11290,성북구,1310
11710,송파구,3456
11470,양천구,1387
11560,영등포구,1901
11170,용산구,761
11380,은평구,1222
11110,종로구,3017
11140,중구,1247
11260,중랑구,982
26,부산광역시,11529
26110,중구,294
26140,서구,1474
26170,동구,482
26200,영도구,281
26230,부산진구,1884
26260,동래구,923
26290,남구,602
26320,북구,704
26350,해운대구,1334
26380,사하구,713
26410,금정구,551
26440,강서구,156
26470,연제구,659
26500,수영구,613
26530,사상구,548
26710,기장군,311
27,대구광역시,8388
27110,중구,1501
27140,동구,878
27170,서구,419
27200,남구,1123
27230,북구,1065
27260,수성구,1169
27290,달서구,1859
27710,달성군,374
28,인천광역시,7361
28110,중구,619
28140,동구,175
28170,남구,901
28185,연수구,632
28200,남동구,1683
28237,부평구,1321
28245,계양구,721
28260,서구,1127
28710,강화군,125
28720,옹진군,57
29,광주광역시,5391
29110,동구,1217
29140,서구,1089
29155,남구,769
29170,북구,1235
29200,광산구,1081
30,대전광역시,5210
30110,동구,522
30140,중구,1316
30170,서구,2130
30200,유성구,835
30230,대덕구,407
31,울산광역시,2667
31110,중구,426
31140,남구,1099
31170,동구,580
31200,북구,254
31710,울주군,308
36,세종특별자치시,665
36110,세종시,665
41,경기도,32162
41110,수원시,3747
41111,수원시장안구,527
41113,수원시권선구,591
41115,수원시팔달구,1223
41117,수원시영통구,1406
41130,성남시,4209
41131,성남시수정구,678
41133,성남시중원구,453
41135,성남시분당구,3078
41150,의정부시,1218
41170,안양시,1728
41171,안양시만안구,547
41173,안양시동안구,1181
41190,부천시,2450
41195,부천시원미구,816
41197,부천시소사구,817
41199,부천시오정구,817
41210,광명시,706
41220,평택시,1017
41250,동두천시,190
41270,안산시,1700
41271,안산시상록구,496
41273,안산시단원구,1204
41280,고양시,3295
41281,고양시덕양구,969
41285,고양시일산동구,1483
41287,고양시일산서구,843
41290,과천시,85
41310,구리시,722
41360,남양주시,1089
41370,오산시,442
41390,시흥시,786
41410,군포시,610
41430,의왕시,218
41450,하남시,453
41460,용인시,1961
41461,용인시처인구,374
41463,용인시기흥구,999
41465,용인시수지구,588
41480,파주시,706
41500,이천시,404
41550,안성시,316
41570,김포시,875
41590,화성시,1509
41610,광주시,470
41630,양주시,382
41650,포천시,271
41660,여주군,224
41800,연천군,69
41820,가평군,110
41830,양평군,200
42,강원도,3983
42110,춘천시,971
42130,원주시,1133
42150,강릉시,733
42170,동해시,161
42190,태백시,71
42210,속초시,191
42230,삼척시,109
42720,홍천군,131
42730,횡성군,64
42750,영월군,61
42760,평창군,68
42770,정선군,49
42780,철원군,66
42790,화천군,42
42800,양구군,39
42810,인제군,39
42820,고성군,27
42830,양양군,28
43,충청북도,3784
43110,청주시,1844
43111,청주시상당구,861
43113,청주시흥덕구,983
43130,충주시,504
43150,제천시,300
43710,청원군,390
43720,보은군,73
43730,옥천군,98
43740,영동군,105
43745,증평군,52
43750,진천군,143
43760,괴산군,71
43770,음성군,165
43800,단양군,39
44,충청남도,4940
44130,천안시,2167
44131,천안시동남구,1241
44133,천안시서북구,926
44150,공주시,250
44180,보령시,181
44200,아산시,557
44210,서산시,286
44230,논산시,309
44250,계룡시,69
44270,당진시,268
44710,금산군,112
44760,부여군,122
44770,서천군,106
44790,청양군,60
44800,홍성군,213
44810,예산군,136
44825,태안군,104
45,전라북도,5512
45110,전주시,2547
45111,전주시완산구,1248
45113,전주시덕진구,1299
45130,군산시,647
45140,익산시,964
45180,정읍시,261
45190,남원시,210
45210,김제시,191
45710,완주군,179
45720,진안군,59
45730,무주군,46
45740,장수군,40
45750,임실군,61
45770,순창군,60
45790,고창군,125
45800,부안군,122
46,전라남도,4737
46110,목포시,727
46130,여수시,621
46150,순천시,762
46170,나주시,310
46230,광양시,225
46710,담양군,111
46720,곡성군,67
46730,구례군,68
46770,고흥군,144
46780,보성군,105
46790,화순군,437
46800,장흥군,92
46810,강진군,88
46820,해남군,157
46830,영암군,90
46840,무안군,175
46860,함평군,83
46870,영광군,145
46880,장성군,77
46890,완도군,96
46900,진도군,62
46910,신안군,95
47,경상북도,5609
47110,포항시,1285
47111,남구,606
47113,북구,679
47130,경주시,537
47150,김천시,276
47170,안동시,466
47190,구미시,825
47210,영주시,228
47230,영천시,206
47250,상주시,195
47280,문경시,153
47290,경산시,524
47720,군위군,34
47730,의성군,98
47750,청송군,54
47760,영양군,23
47770,영덕군,68
47820,청도군,92
47830,고령군,58
47840,성주군,86
47850,칠곡군,148
47900,예천군,95
47920,봉화군,49
47930,울진군,88
47940,울릉군,21
48,경상남도,8256
48120,창원시,2818
48121,의창구,558
48123,성산구,745
48125,마산합포구,471
48127,마산회원구,724
48129,진해구,320
48170,진주시,1152
48220,통영시,250
48240,사천시,224
48250,김해시,1074
48270,밀양시,197
48310,거제시,384
48330,양산시,1254
48720,의령군,46
48730,함안군,103
48740,창녕군,144
48820,고성군,100
48840,남해군,76
48850,하동군,82
48860,산청군,62
48870,함양군,68
48880,거창군,131
48890,합천군,91
50,제주특별자치도,1689
50110,제주시,1378
50130,서귀포시,311
